City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
323,aykhal,66.0,111.5,250.01,72,13,4.37,1703138400
324,markovo,57.3206,107.0881,251.74,85,17,1.23,1703138400
325,geraldton,-28.7667,114.6,301.38,57,59,5.68,1703138400
326,kirakira,-10.4544,161.9205,301.77,76,64,1.0,1703138400
327,cam ranh,11.9214,109.1591,300.13,69,81,10.14,1703138400
328,rizokarpaso,35.6,34.375,289.78,57,100,10.81,1703138400
329,huangshan,29.7114,118.3125,276.41,28,3,1.71,1703138400
330,linton,39.0348,-87.1658,277.8,54,100,2.72,1703138400
331,jamaame,0.0697,42.745,304.12,62,56,6.59,1703138400
332,nikolayevsk-on-amure,53.1406,140.73,247.38,92,25,1.8,1703138400
333,port alfred,-33.5906,26.891,294.97,89,27,5.44,1703138400
334,zaozersk,69.4005,32.4476,264.93,94,97,2.87,1703138400
335,sitangkai,4.6628,119.3928,301.8,73,68,2.58,1703138400
336,luau,-10.7073,22.2247,294.08,93,100,1.06,1703138400
337,sungai penuh,-2.0833,101.3833,296.01,84,100,1.06,1703138400
338,yamada,39.4667,141.95,273.55,91,97,2.9,1703138400
339,guankou,28.15,113.6333,282.05,42,50,1.46,1703138400
340,klyuchi,52.2667,79.1667,268.43,82,100,5.7,1703138400
341,tehran,35.6944,51.4215,280.72,45,34,1.91,1703138400
342,murghob,38.1702,73.9667,260.68,52,0,1.8,1703138400
343,susuman,62.7833,148.1667,235.51,100,98,0.2,1703138400
344,lautoka,-17.6167,177.4667,303.07,74,78,2.03,1703138400
345,constantia,44.1833,28.65,278.34,75,71,3.65,1703138400
346,pacasmayo,-7.4006,-79.5714,293.79,85,95,4.17,1703138400
347,villaguay,-31.8653,-59.0269,290.87,92,75,3.93,1703138400
348,bhimunipatnam,17.8833,83.4333,297.88,50,12,1.6,1703138400
349,happy valley-goose bay,53.3168,-60.3315,268.43,62,92,5.59,1703138400
350,ugoofaaru,5.6667,73.0,301.03,81,100,2.93,1703138400
351,moog,8.6011,124.4658,301.24,72,90,1.71,1703138400
352,sao luiz gonzaga,-28.4083,-54.9608,293.62,94,1,2.22,1703138400
353,coahuayana de hidalgo,18.7,-103.6583,296.57,90,80,1.09,1703138400
354,jayapura,-2.5333,140.7,305.81,78,82,2.03,1703138400
355,machico,32.7,-16.7667,290.33,74,54,8.24,1703138400
356,ilebo,-4.3167,20.5833,295.44,94,100,0.76,1703138400
357,newman,37.3138,-121.0208,285.41,95,97,1.48,1703138400
358,roma,43.2128,-75.4557,272.47,90,43,3.52,1703138400
359,udachny,66.4167,112.4,245.95,76,7,2.57,1703138400
